,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
605,gmbbolton23,1,0,1,608,0,608,0,0,0,0,21,4.70E-05,0.000832,0,0,790,0,0.005761,AlecShelbrooke
606,Sproat94,1,0,1,222,0,222,0,0,0,0,21,4.70E-05,0.000832,0,0,789,0,0.005761,DHallMatthews
607,WelcomeBolton,4,0,4,2565,0,2565,0,0,0,0,72,5.50E-05,0.001204,0,0,684,0,0.043659,MattHartley100
608,Manc_Labour,11,0,11,42219,0,42219,0,0,0,0,68,6.50E-05,0.011877,0,0,788,0,0.063372,enfield_greens
609,longgoodfriday,1,0,1,994,0,994,0,0,0,0,21,4.70E-05,0.000832,0,0,787,0,0.005761,lbpreston
610,VikasPai_CE,2,0,2,90,0,90,0,0,0,0,21,4.80E-05,0.001167,0,0,786,0,0.011522,votejonathan
611,FarnworthLion,1,0,1,597,0,597,0,0,0,0,21,4.70E-05,0.000832,0,0,785,0,0.005761,CLaidlaw
612,darkavenger12a,1,0,1,801,0,801,0,0,0,0,21,4.70E-05,0.000832,0,0,784,0,0.005761,SwaleGreens
613,novicejogger,1,0,1,59,0,59,0,0,0,0,21,4.70E-05,0.000832,0,0,783,0,0.005761,Helen_Whately
614,CongoHusky73,2,0,2,394,0,394,0,0,0,0,21,4.90E-05,0.000878,0,0,782,0,0.011522,SeemaMalhotra1
615,steveLBDB,1,0,1,10,0,10,0,0,0,0,21,4.70E-05,0.000832,0,0,781,0,0.005761,JackLopresti
616,RedRoseMummy,1,0,1,12930,0,12930,0,0,0,0,21,4.70E-05,0.000832,0,0,780,0,0.005761,FaBSCLP
617,samzahee,1,0,1,1432,0,1432,0,0,0,0,21,4.70E-05,0.000832,0,0,779,0,0.005761,GreenPartyFOD
618,jomwlever,1,0,1,2984,0,2984,0,0,0,0,21,4.70E-05,0.000832,0,0,778,0,0.005761,Mark_J_Harper
619,NickPeelBolton,1,0,1,1988,0,1988,0,0,0,0,21,4.70E-05,0.000832,0,0,777,0,0.005761,markdurkan
620,aaqil1969,1,0,1,1398,0,1398,0,0,0,0,21,4.70E-05,0.000832,0,0,776,0,0.005761,VickyPearsonGP
