screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Nicola_Knight1,6,0.356418919,13,1.019071192,422,121.9375,28.7339527,5987,234.4801308,34021,0.306846999,1217,2113,1
curryannemarie,5,0.162162162,4,0.717108063,6,115.1081081,619.2432432,10745,1841.065913,22912,10.02777778,176,209,0
joenaitta,5,0.239285714,7,0.781408657,67,94.13928571,31.33571429,2003,174.2180535,8774,1.29390681,209,264,0
Roobotham,5,0.978365385,114,5.934904349,407,122.1201923,883.9615385,148542,7635.628617,367728,0.877108434,488,284,1
ajsmith_libdem,4,0.742857143,5,1.272631854,26,112.3714286,51.25714286,435,123.2642557,1794,10.29411765,230,180,0
Ed_Miliband,5,2830.818182,87229,8449.218039,965309,120.6656891,1478.577713,41750,4233.049686,504195,1.076470588,5000,1544,0
IanAustinMP,7,5.564293305,204,20.32319522,5236,114.2422954,75.7183847,24188,888.8861508,71251,0.241489362,5000,1778,0
JonBramall,6,0.137886598,9,0.632298758,107,116.6546392,1619.64433,227800,11628.4896,1256844,0.463225806,667,1925,0
StewartHosieSNP,5,18.38397329,562,50.31711933,11012,126.8430718,304.9015025,19741,1325.572474,182636,0.612040134,5000,905,0
whyteleafedavid,7,0.212303076,10,0.777071189,283,120.2063016,715.2093023,225279,7785.502887,953374,0.274774775,368,239,1
carl1545,5,1.072890026,231,8.591529558,839,123.3337596,147.7953964,17034,912.8929055,115576,0.466069142,2816,4874,1
Craig_R_Martin,7,0.173410405,45,1.410525438,300,118.6959538,1653.041618,426513,14225.54963,2859762,0.211104685,672,607,0
ElishaMcC_SF,1,2.755905512,119,12.96070168,700,126.6732283,43.37795276,1998,146.7979183,11018,1.114624506,5000,889,1
andyredfern,4,0.779069767,8,1.595058961,67,102.8604651,12.56976744,797,87.35193994,1081,4.129411765,1015,639,0
danielslaw,3,0.640449438,19,2.214595055,57,127.4157303,4.685393258,274,28.92360939,417,4.034090909,486,783,0
RichardGrahamUK,6,2.690895742,209,7.108291115,3665,126.0330396,873.0367107,852016,23442.10744,1189076,0.268919912,5000,592,0
gylabour,5,0.749103943,28,2.442483368,209,116.8422939,361.9247312,19290,1448.398309,100977,1.31294964,987,1057,1
TulipSiddiq,3,32.57047388,3066,120.8755758,53611,112.6415553,1326.956258,776534,25736.83024,2184170,0.221884498,5000,1295,0
nickperrylibdem,7,0.467789891,31,1.734396149,472,126.2933598,516.3379584,159472,5580.581129,520985,0.361111111,639,246,1
William_Wragg,5,13.17439703,976,62.37137572,7101,126.3506494,334.4860853,40222,1928.475294,180288,0.654275093,5000,1184,1
Hemellabour,5,1.621262458,222,12.83693072,488,109.5813953,96.52491694,5372,443.7577946,29054,1.22,489,474,1
mikekatz,7,3.249152542,306,14.16108146,1917,117.1779661,158.9983051,18555,1115.394972,93809,0.106960951,4324,2454,1
bphillipsonMP,3,2.602240896,118,8.790993323,929,112.8067227,1950.747899,676284,35740.90942,696417,1.02247191,5000,1971,1
gummerben,6,2.609375,113,7.853457016,4175,103.184375,203.21625,29074,1459.251126,325146,0.228893058,5000,570,1
EmilyThornberry,7,31.80579531,3507,148.6292067,51589,112.7083847,791.3464858,410289,10925.25151,1283564,0.13325108,5000,1253,1
jenniferdnadel,3,13.39411765,191,33.52475767,2277,124.9235294,733.6941176,38054,3942.02432,124728,2.159763314,2748,580,1
AlanBrownSNP,5,4.916398714,142,12.47477537,3058,124.14791,72.66720257,3088,253.3858886,45199,0.587761675,5000,430,0
clairethomas1,3,2.163771712,26,3.473826655,872,114.8461538,39.67245658,4986,292.395186,15988,0.910447761,1088,961,1
RogMull,7,15.38757559,3176,87.81849992,27990,112.746564,91.61462342,13026,616.3512395,166647,0.111661166,5000,2248,0
RachelReevesMP,7,7.199481865,236,18.76833403,5558,121.8406736,317.7072539,51811,2643.392948,245270,0.127107652,5000,3672,1
MagsLewisGreen,5,0.470509383,45,2.272888115,351,125.7171582,449.0335121,64474,3801.411668,334979,0.489932886,558,289,1
ShaunBaileyUK,7,1.919014085,637,20.25520602,2180,120.3987676,60.01496479,13471,563.7836986,68177,0.32246696,5000,1022,1
CPALewisham,4,0.105990783,3,0.410474672,23,99.41013825,76.98617512,6113,546.6341878,16706,1.685185185,90,161,1
AshleyGunstock,4,0.443037975,5,0.910512937,35,128.4050633,127.835443,2682,429.5444284,10099,4.564102564,919,715,1
BenBloryman,3,0.824034335,8,1.428984765,192,124.1287554,1359.296137,63148,6979.600909,316716,1.547413793,311,378,1
