screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
MattHartley100,3,4.559440559,203,14.50060157,1304,120.3741259,211.1258741,36496,2172.94928,60382,0.326315789,2114,1992,1
enfield_greens,2,0.261580381,19,1.151812082,96,108.7820163,820.119891,121018,7683.164765,300984,0.24863388,986,543,1
lbpreston,3,0.871733967,25,2.083228831,367,111.1211401,9033.142518,3622832,176359.747,3802953,0.221428571,1808,1546,0
votejonathan,3,0.25,2,0.580947502,10,127.475,0.075,1,0.263391344,3,1.076923077,90,392,1
CLaidlaw,3,5.947058824,108,13.94791225,1011,127.3058824,80.41176471,6455,524.8472337,13670,0.544378698,1055,1169,1
SwaleGreens,4,0.033210332,2,0.198714569,18,131.5571956,451.8892989,24317,1786.30629,244924,0.171903882,247,291,1
Helen_Whately,2,2.927083333,43,5.32729761,562,118.8697917,22.27604167,1554,146.0560033,4277,0.486910995,5000,213,1
SeemaMalhotra1,4,3.886554622,311,17.3124933,1850,123.0273109,174.5357143,6326,667.6018608,83079,0.195789474,5000,3723,1
JackLopresti,3,4.209677419,71,10.00667051,261,120,69.06451613,1662,284.5919473,4282,1.491803279,4629,356,1
FaBSCLP,5,1.429850746,18,2.311619896,479,104.0029851,340.6,23013,1752.267814,114101,0.107784431,233,81,0
GreenPartyFOD,3,0.981012658,70,4.187037742,310,121.6993671,258.0221519,57676,3256.9182,81535,0.285714286,1127,1538,1
Mark_J_Harper,3,0.670731707,11,2.14165925,55,132.2195122,416.402439,7106,1180.949348,34145,1.12345679,5000,519,0
markdurkan,3,11.47058824,98,18.57138104,780,139.6176471,262.9705882,15798,1900.978858,17882,1.358208955,5000,395,1
VickyPearsonGP,1,0.428571429,4,0.863074712,12,124.5,19.60714286,165,41.11511652,549,1.37037037,206,172,0
Vernon_Coaker,4,8.619047619,95,14.01818951,2896,115.0595238,155.0892857,17061,1111.597881,52110,0.27761194,5000,713,1
mgshanks,5,2.397183099,327,13.27233671,1702,110.4225352,140.515493,37717,1909.810656,99766,0.131170663,1590,1128,1
bellrebeccabell,2,0.174603175,3,0.550315423,11,116.7460317,3077.349206,150593,19219.31389,193873,1.467741935,791,1947,1
Baz_k,5,1.325581395,17,3.206492422,171,115.0465116,18.12403101,1357,123.2358933,2338,0.09375,1986,2839,0
AnitadayA,3,0.19826518,28,1.209359192,160,120.6022305,904.8587361,76052,3954.12316,730221,0.114143921,224,296,1
cs_adams,3,0.391959799,22,1.552153854,156,124.2236181,557.298995,22252,1965.58421,221805,0.229219144,588,599,1
AnimalsCount,3,6.08,48,10.01699889,912,125.14,12.99333333,138,22.78200947,1949,0.590604027,5000,1965,0
HenleyStatic,3,0.489051095,21,1.605723287,134,119.729927,147.3941606,6534,796.6482373,40386,0.340659341,579,580,0
GreenJamesRob,5,0.212355212,7,0.818040939,55,124.7837838,378.3706564,19054,1532.758875,97998,0.11627907,346,834,0
Jamesdbaker1,5,0.476190476,45,2.269829205,230,115.0207039,296.7743271,27904,1663.681586,143342,0.097510373,1373,1097,0
rsbate,3,0.8,7,1.64924225,20,102.8,29.72,449,102.8013696,743,3.75,240,276,1
hammersmithandy,5,8.029259897,277,22.75063134,4665,132.2254733,182.5438898,15925,1064.90664,106058,0.160344828,5000,1870,1
kirstyrallan,4,1.707129094,138,7.743414583,886,123.3352601,813.8362235,67256,4246.112346,422381,0.17953668,955,437,1
ClaireLLeyland,5,3.089242054,49,6.431554749,2527,126.2176039,219.0244499,67256,2593.362721,179162,0.112607099,3025,2642,1
PhilWaiteHw,3,2.429679922,87,4.826037909,2505,130.1454898,296.6876819,38841,1871.643903,305885,0.085436893,890,803,0
HerefordLabour,2,0.314529915,20,1.163641863,184,130.8034188,958.2803419,38841,2750.750812,560594,0.159246575,841,1357,1
LucyHurds,4,0.839285714,7,1.473295452,94,125.7857143,348.1339286,23987,2382.548345,38991,0.810810811,894,1888,0
ChibahKatherine,2,0.911949686,22,2.315883487,290,113.0786164,803.2484277,51810,3888.579831,255433,0.293375394,1300,2001,0
PriskMark,3,1.12,19,2.423276019,336,110.4,160.3766667,8134,577.5920199,48113,0.311036789,5000,422,0
FionaHallEU,3,0.648648649,49,3.786292605,168,124.1660232,843.1042471,71881,4664.235548,218364,0.356589147,2694,266,0
StephenCrosher,5,0.33004386,11,0.899352105,301,123.1578947,272.8300439,67254,2461.088826,248821,0.050493963,464,622,0
Keir_Starmer,2,88,5977,385.9376555,30712,131.0057307,85.51002865,6503,390.9005883,29843,0.267241379,5000,345,0
