Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
LRNA11,,,1,0,1,218,0,218,0,0,0,0,153,0.000047,0.000014,0,0,272,0,0.005761
DBSGreens,,,1,0,1,754,0,754,0,0,0,0,153,0.000047,0.000014,0,0,271,0,0.005761
RowanTNI,,,1,0,1,608,0,608,0,0,0,0,153,0.000047,0.000014,0,0,270,0,0.005761
TheLaughingSky,,,1,0,1,247,0,247,0,0,0,0,153,0.000047,0.000014,0,0,269,0,0.005761
aineduck97,,,10,0,10,51691,0,51691,0,0,0,0,153,0.00008,0.000329,0,0,268,0.011111,0.061261
oharamal,,,1,0,1,2495,0,2495,0,0,0,0,153,0.000047,0.000014,0,0,267,0,0.005761
markreel,,,1,0,1,2330,0,2330,0,0,0,0,153,0.000047,0.000014,0,0,266,0,0.005761
Lesleyveronica,,,1,0,1,400,0,400,0,0,0,0,153,0.000047,0.000014,0,0,265,0,0.005761
espenasteladd,,,1,0,1,1457,0,1457,0,0,0,0,153,0.000047,0.000014,0,0,264,0,0.005761
denisemcauleySM,,,1,0,1,181,0,181,0,0,0,0,153,0.000047,0.000014,0,0,263,0,0.005761
heatherfpa,,,1,0,1,127,0,127,0,0,0,0,153,0.000047,0.000014,0,0,262,0,0.005761
Strangfordgreen,,,1,13,14,357,19637,19994,1,1,1,10,55,0.000047,0.000014,0.000326,0,261,0.016484,0.005761
fran_snchz,,,1,0,1,762,0,762,0,0,0,0,153,0.000047,0.000014,0,0,248,0,0.005761
snurk01,,,1,0,1,174,0,174,0,0,0,0,153,0.000047,0.000014,0,0,247,0,0.005761
strike4choice,,,1,0,1,211,0,211,0,0,0,0,153,0.000047,0.000014,0,0,246,0,0.005761
GreenAlty,,,6,0,6,15893,0,15893,0,0,0,0,1,0.00006,0.00018,0,0,245,0,0.044433
KevinBosshogg79,,,4,0,4,1985,0,1985,0,0,0,0,153,0.000054,0.000048,0,0,229,0.083333,0.035138
jonesy108,,,1,0,1,454,0,454,0,0,0,0,153,0.000047,0.000014,0,0,244,0,0.005761
Fiona7689Fiona,,,1,0,1,2259,0,2259,0,0,0,0,153,0.000047,0.000014,0,0,243,0,0.005761
decombustion,,,1,20,21,1534,97918,99452,1,1,1,17,153,0.000047,0.000014,0.000027,0,242,0.007143,0.005761
LurigDramaCDall,,,1,0,1,1432,0,1432,0,0,0,0,153,0.000047,0.000014,0,0,221,0,0.005761
GerryFloydCine,,,1,0,1,41,0,41,0,0,0,0,153,0.000047,0.000014,0,0,220,0,0.005761
pa0l,,,1,0,1,139,0,139,0,0,0,0,153,0.000047,0.000014,0,0,219,0,0.005761
GreensSSalop,,,1,0,1,1742,0,1742,0,0,0,0,153,0.000047,0.000014,0,0,218,0,0.005761
70af7adbdd70474,,,1,0,1,289,0,289,0,0,0,0,153,0.000047,0.000014,0,0,217,0,0.005761
ZombieAudition,,,1,0,1,247,0,247,0,0,0,0,153,0.000047,0.000014,0,0,216,0,0.005761
emotionalmap,,,1,0,1,42,0,42,0,0,0,0,153,0.000047,0.000014,0,0,215,0,0.005761
SuckMyLEFTJuan,,,5,0,5,16495,0,16495,0,0,0,0,72,0.000058,0.000947,0,0,214,0,0.028805
oliver_moran,,,1,0,1,1334,0,1334,0,0,0,0,153,0.000047,0.000014,0,0,213,0,0.005761
PaulaJaneB,,,0,70,70,0,182302,182302,1,1,1,0,153,0.000046,0,0.000439,0,357,0,0
TrBrk,,,2,0,2,534,0,534,0,0,0,0,153,0.000049,0.000065,0,0,356,0,0.011522
StormyOne53,,,1,0,1,315,0,315,0,0,0,0,153,0.000047,0.000032,0,0,355,0,0.005761
Micky_Murray,,,2,0,2,5469,0,5469,0,0,0,0,153,0.00005,0.000035,0,0,354,0,0.011522
ZoeMcKavanagh,,,2,0,2,444,0,444,0,0,0,0,153,0.000049,0.000046,0,0,353,0,0.011522
celticissimo,,,3,0,3,2957,0,2957,0,0,0,0,55,0.000054,0.000525,0,0,352,0,0.017283
DesertWill,,,2,0,2,14818,0,14818,0,0,0,0,153,0.000049,0.000046,0,0,351,0,0.011522
DavidReidoNI,,,1,0,1,468,0,468,0,0,0,0,153,0.000047,0.000032,0,0,350,0,0.005761
b3d7sw,,,1,0,1,1361,0,1361,0,0,0,0,153,0.000047,0.000032,0,0,349,0,0.005761
